start	end	text
1323658	1334189	We reach a point where even if I increase the workload or the power, there's no increase in oxygen consumption.
1336171	1342698	We'll touch on where the barriers are that are limiting your body's ability to uptake more oxygen.
1344043	1353611	But some of the more easier ones to think about is, well, my lungs are just the size that I have.
1353651	1356093	My heart can't really get that much bigger.
1356253	1358115	Well, they don't get bigger on the outside.
1358695	1361117	You can have some hypertrophy inside of the ventricles.
1361878	1365841	But you have the lungs that you are born with, and you have the heart that you're born with.
1365922	1370826	And so at a certain point in time, I can't bring enough oxygen in, or maybe I can't pump enough blood.
1371857	1382703	So those are a couple limitations, but eventually your body cannot absorb or consume more oxygen, no matter the power that I kind of put that individual on.
1383163	1385505	And so they reach a physiological ceiling.
1388866	1398292	So some of those factors, maximum ability of cardiorespiratory system to deliver oxygen to the muscles, or the ability of the muscles to use the oxygen and produce ATP aerobically.
1399252	1400753	So you can imagine if I had
1404047	1414620	a well-developed heart, lungs, blood, and all of that, but then all of a sudden I take away half your mitochondria, well, that could be a problem for you to actually consume that oxygen.
1415561	1417343	So that's what that bottom one's kind of talking about.
1422538	1426421	Okay, exercise intensity and fuel selection at low intensity exercise.
1426841	1429864	Fats are the primary fuel that is being utilized.
1430304	1434628	At high exercise intensity, carbohydrates are the primary fuel.
1438330	1443254	We kinda talked about this before, so this should be a little bit of review, and I think you've seen this in your labs as well.
1445516	1450280	Which is why I know this question's gonna be on your exam then.
1454342	1459527	You're going to get 100 here, and we're going to put this on the exam here.
1460388	1464372	What happens to R or RER as exercise intensity increases?
1518227	1521328	OK, let's go maybe 30, 45 seconds more.
1523430	1527391	Does anyone need more help setting this up or setting your clicker up?
1550593	1551773	All right, 30 more seconds.
1552113	1553654	Make sure you have something clicked in.
1553674	1568738	All right, 10 seconds here.
1568758	1576760	I'll close this down in three, two, one.
1581565	1583346	All right, so I'm gonna show this.
1589608	1590349	We did pretty good.
1591189	1591729	I'll take that.
1591809	1600333	I know some of you were like, oh, 86%, if there was an 86% average on the exam, oh man, I'd throw everyone a party in here.
1600453	1601993	Like, I'd take that all day long.
1602394	1607296	So don't worry, 86, yeah, that's not 100, but I'm okay with that.
1607436	1608096	That's pretty good.
1608596	1609877	Let's talk about this really quick.
1610736	1616820	Right, if I increase exercise intensity, what are we trying to utilize more of?
1618140	1620101	Carbs, yep, just like what we talked about.
1620602	1625805	On the RER chart, if I'm at 100% carbohydrate, what's that RER value?
1626785	1628226	One, and then if I'm at 100% fat, what are we at?
1631020	1631580	0.7, good.
1631880	1643006	So if we look at this chart over here, and if I'm moving from 0% carbohydrate to 100, we're getting closer to ones who are increasing the RER.
1646327	1659313	Okay, so as carbohydrates are increasing with exercise intensity and fats are kind of decreasing, well eventually you're gonna have these two lines kind of cross, which you can kind of imply from this table right here.
1661873	1666435	Where these two lines cross is called the crossover concept.
1667636	1679382	So this, pretty much this crossover point is the point at which our body switches over from primarily fat oxidation to primarily carbohydrate oxidation.
1683043	1686085	As soon as we kind of move over from here,
1688111	1692815	Then again, we can kind of tell in individuals maybe at a certain intensity point.
1695717	1702163	So the next question you might ask yourself, what's causing this crossover concept or this crossover to occur?
1703664	1704845	Well, there are a few things.
1705646	1707107	We're gonna go over two of them.
1707527	1712672	One would be the recruitment of fast muscle fibers that are better equipped to metabolize carbohydrates than fats.
1719124	1728714	No.
1728874	1730255	We're gonna get into that in a second.
1730335	1731917	Yeah, can we hold on to that thought?
1732057	1732818	Okay, cool, cool.
1734810	1738092	OK, so recruitment of different muscle fibers.
1738392	1739313	And we'll get into this.
1739353	1747538	But if you remember from anatomy, you're kind of shifting from that type 1 to type 2 fiber recruitment as you are increasing exercise intensity.
1747978	1751120	And so we start to rely more on carbohydrates for that.
1752334	1756695	You also have increasing blood levels of epinephrine to stimulate glycogenolysis.
1756875	1766818	So very similar to what we saw with exercise duration, epinephrine and norepinephrine also increase with intensity.
1768839	1774260	So epinephrine and norepinephrine both increase with intensity and duration.
1775880	1780682	The magnitude is a little bit different, but don't worry about which one's more or which one's less.
1781562	1782622	They just both increase, yeah.
1795444	1798625	Yeah, yeah, so you're bringing up a really great question.
1798705	1804786	So if we have an increase in epinephrine, we just talked about how that's going to help with breakdown of triglycerides.
1805426	1806466	Hang on to that thought.
1806486	1807967	We're going to touch into that.
1808127	1809147	Well, I guess we can.
1812276	1815959	Where do we store most of our adipose tissue?
1818761	1821883	You don't have to say like exact location, but in the muscle or not in the muscle?
1822564	1823284	Not in the muscle.
1823945	1828148	When you are increasing exercise intensity, where do you want to send most of the blood?
1829622	1849875	to the muscle and so as you increase in exercise intensity, you start to divert a lot of the blood to the muscle and so that's less blood flow to going to the liver or some of the adipose tissue and so it actually reduces or blunts some of the ability for you to sequester some of the triglycerides or free fatty acids from the triglycerides.
1850416	1853758	But we'll touch on a few other mechanisms that are kind of impairing with that later.
1857033	1862075	OK, so influence on exercise intensity on muscle fuel source.
1862135	1867797	This is very similar to the figure we saw with the four kind of lines going out on that grid.
1868617	1871639	Here we have exercise intensity 25, 65, and 85, the percent of fuel source used.
1875720	1883284	We can see that plasma-free fatty acids are the primary energy source at these lower exercise intensities, like 25%.
1884945	1889607	But as we increase in that exercise intensity, they start to get lower and lower and lower.
1890448	1895290	And what we start to rely more and more on would be the muscle glycogen, which is this top blue bar.
1895631	1901714	So as we increase in exercise intensity, we're increasing the utilization from glycogen.
1907975	1921441	Just like fat oxidation as you increase the duration with training, you can shift the crossover concept as well with exercise intensity.
1923141	1929084	So for this, if we have this fat oxidation here in this dark line,
1929939	1935260	And then this dotted line over here, we have the carbohydrate utilization.
1936281	1939841	With training, you shift the crossover point to the right.
1942822	1950624	So it doesn't have it necessarily here, but if you go back to the other figure, the crossover point was around 30% to 40%.
1951944	1955005	And then with training, you push it kind of to the right.
1957956	1967443	And if I'm just looking at the estimated kind of R over here, no surprise, the R kind of shifts down and to the right.
1972521	1987664	I like this curve a little bit better because you can draw one crossover concept, then draw an arrow to the right, maybe draw another crossover to that, and then you can see, well, how many carbohydrates or fat am I using at 60%?
1988624	1996126	Well, this is around 40% over here, but if the old crossover was down here, then it would be closer to 20%.
2000825	2011268	So the whole name of the game, then, would be both scenarios you're trying to oxidize or use more fat at higher intensities so that you can spare those glycogen molecules.
2020430	2030233	Interestingly, regardless if you are trained or untrained, this crossover concept occurs really close to something called the lactate threshold.
2031568	2033189	So that'll be our next concept here.
2035091	2039935	Before I move on to this, are we okay with exercise intensity and substrate utilization?
2042337	2049323	Anytime you see a problem that deals with substrate utilization, you need to almost like box off two concepts, duration and intensity.
2050525	2057551	Once you have those two concepts kind of written or kind of straightened out, then you can try to answer the question.
2058548	2070195	Because if you mix the two together and you try to apply, like you say, oh, as I increase with exercise duration, now I'm getting carbohydrate utilization to go up, well, that would be a problem.
2070255	2074958	So just make sure you separate the two and then you look at them a little bit more separate.
2076238	2085584	Yes, they kind of happen at the same time, but at least for this course, we're really gonna assess you on whether you can identify duration versus intensity.
2089497	2090497	Okay, lactate threshold.
2092418	2107220	Just to kind of bring you back over here, if we're in this space where we're looking at glycolysis and we're producing a little bit of pyruvate, that pyruvate kind of bounces into lactate dehydrogenase and then we get lactate.
2110541	2111661	I like to start with this.
2112541	2115622	You will not need to know these different terms.
2116564	2122487	but there are a lot of terms out there when trying to describe this concept.
2124048	2132572	Anaerobic threshold, onset of blood lactate accumulation, onset of plasma lactate accumulation, maximal steady state, critical power, lactate break point.
2133213	2135734	There are a ton of researchers that use different terms.
2136534	2143098	The reason why I like to put this up here is because depending on the paper or the book that you read, you could see one of these things.
2144138	2151821	They all generally are referring to the same concept, but sometimes they kind of put them on different spectrums as far as intensity.
2152521	2158524	So there's another one on here that's like one millimolar above lactate break point, things like that.
2159404	2162385	So this is just more for your information.
2162425	2164586	Don't worry, you'll never be tested on this.
2165026	2171709	Just know that people set the lactate threshold at different lactate concentrations or powers.
2174280	2175401	Okay, so lactate threshold.
2175441	2181006	This is the work rate at which blood lactate rises systematically during a graded exercise test.
2181667	2199884	What that means is if I have an exercise intensity down on the x-axis, whether that's in relative or absolute, so speed versus percent VO2 max, and then on the y we have lactate concentration, as I increase the intensity,
2202188	2209792	your blood lactate actually does not change as the workloads are getting harder to a certain point.
2211813	2216055	Then at that point, you start to get a systematic rise in blood lactate.
2217316	2219157	So that's this inflection point here.
2224279	2229042	Typically, we see this around 50 to 60% VO2 max in untrained individuals.
2230335	2232736	and then we see it a little bit higher in trained subjects.
2234176	2248822	This is the average range here, but we have sampled lactate or lactate levels or lactate threshold in the United States Olympic development team, like the runners, and some of them are in the low 90s, like 92%.
2251770	2257035	And so what they are trying to do is they're trying to push this threshold as far to the right as possible.
2257776	2262320	So this blue line would be trained individuals and the red line would be the untrained individuals.
2263301	2274251	So they're trying to push this as far to the right as possible so they can maintain this flat lactate concentration for higher intensities.
2279465	2293731	Okay, so hopefully you're okay with this concept and the next question in the back of your mind might be like, okay, well, this is nice to see that we have this flat piece, but what's actually causing the increase in this lactate concentration?
2295692	2298593	Here are some potential mechanisms to explain the lactate threshold.
2300414	2302895	One would be low muscle glycogen.
2304336	2306517	I'm gonna try to emphasize as best as I can.
2307660	2309641	This is not well accepted.
2311322	2318466	There are probably only a few people out there as far as like exercise physiologists that actually believe this is true.
2319707	2327731	The reason why it's still here on this chart though is because some people still have this idea that it's due to low muscle oxygen.
2327751	2329532	And we'll get into that in just a little bit.
2331740	2334022	The next would be accelerated glycolysis.
2334583	2342649	No surprise if I'm creating more pyruvate while I'm increasing the chances that pyruvate's gonna bump into that enzyme and get converted to lactate.
2343430	2344510	Seems reasonable to me.
2345231	2350015	Recruitment of fast-twitch fibers, that also seems reasonable to me.
2350815	2360083	But that doesn't necessarily tell me whether, all these are telling me is that I'm increasing in the lactate production.
2362470	2368333	What we need to kind of keep in the back of our mind is, our body actually uptakes lactate.
2370193	2378317	If we just had these three pieces here, then we wouldn't see this one.
2380018	2387821	Because at every single one of these intensities here, especially for the train one, glycolysis is increasing at every single one of these points.
2388758	2390739	And you are recruiting more fast-twitch fibers.
2391259	2392859	So you are producing more lactate.
2393760	2396961	But you're still not getting an increase in lactate concentration here.
2400242	2405664	And so what we need to keep in the back of our mind is that we actually remove lactate from the blood.
2406744	2409686	And another piece could be a reduced rate of lactate removal.
2412106	2416268	If you take all of this as kind of in total,
2418217	2421139	This is the take home message that you should probably look at.
2422681	2434830	Blood lactate concentration is just this formula of rate of appearance minus the rate of disappearance or the rate of removal.
2436412	2438393	How much are you putting into the blood?
2439234	2440955	And then how much are you taking out?
2442577	2445339	At these lower intensities, you're almost at like zero.
2447985	2453267	So that's the biggest thing we need to kind of keep in mind of what's causing the lactate threshold.
2454908	2461291	I don't know specifically if I'm removing less or just producing more.
2462912	2477458	So if you think of like a bucket of water and I turn on a faucet to fill up the bucket and then I poke a hole in the bottom, well if I match the rate that the bucket is losing water with the faucet, the water level should not change.
2478833	2482155	But if I turn on the faucet more, yeah, you're gonna get an accumulation of that water.
2483196	2490601	Or instead of turning on the faucet and just leave the faucet at the same rate, I make the hole a little bit bigger or smaller, that will change the water level.
2491401	2499086	So I don't know, we don't know as researchers if it's the rate of removal versus the rate of production.
2502328	2505090	And it does depend on the individual as well as the type of exercise.
2506869	2511712	All we know is it's this kind of rate of removal versus the rate of appearance.
2516636	2520218	We don't need to break out into a group, but this is kind of just a fun thing.
2520298	2522940	How do we actually get this?
2523401	2527143	How do we measure blood lactate levels over time during graded exercise tests?
2527624	2530586	Maybe some of you have already done it, but any ideas?
2533808	2533928	Yeah.
2535553	2536874	Yeah, you do a little finger stick.
2537655	2541498	Sometimes you can actually poke the back of the earlobe.
2542299	2543480	That one's a little bit easier.
2543520	2545322	And some people are like, oh, I don't know if I like that.
2545362	2551087	But for cycling, if your hands are on the handlebars, well, it's a little bit easier to access the ear.
2553128	2557052	For running, typically we have them kind of put their hand out on the treadmill.
2557532	2558313	We just poke the finger.
2562503	2568907	The nice thing about this is if I can get someone's lactate threshold, we can do some pretty cool stuff.
2568987	2572149	We can predict endurance performance pretty well.
2573630	2583916	We do need to combine this with running economy and some of the better predictions also include things like kinetics, critical power, as well as VO2 max.
2585557	2588879	The other nice thing would be we can plan some training programs.
2590413	2601539	If the idea is let's push the lactate threshold to the right as far as possible, well then we need to spend the most amount of our training inside of that lactate threshold range.
2601699	2608983	So a little bit above, maybe right at it to try to push that curve and stress the body to get it to move to the right.
2613857	2619600	You'll be working with this formula in lab, so I won't spend too much time with this.
2620460	2635446	But essentially, your 10K race time does a really good job for your ability to run 10 kilometers is very closely linked to where your lactate threshold occurs as far as pacing.
2636547	2639048	So we can then predict performance in 10K race.
2639108	2641069	We need to determine the lactate threshold.
2642325	2643846	And then we can measure VO2 max.
2645147	2653735	We input these into a different formula that you won't be responsible for, but we can estimate the 10K running time using this formula here.
2659200	2660100	So what does that look like?
2660421	2664543	Okay, well, we'll draw kind of one line over this way on the lactate threshold.
2664583	2673267	So if you have oxygen uptake or intensity on the X axis and then blood lactate on the Y, we draw one line to establish that baseline lactate.
2673807	2676869	And then once we see that systematic rise, we'll draw another line.
2677309	2684553	And wherever those points intersect, we pretty much drop that towards the intensity and we know where their lactate threshold is around.
2685930	2689493	You will not be taking lactate samples in lab.
2690173	2694957	We'll instead use something called the ventilatory threshold, which behaves very similarly.
2696738	2701902	It's not a direct measure of lactate threshold, but it gives us a good idea of where lactate threshold might be around.
2703843	2705585	And then you can plug in these values here.
2706105	2711909	And then for this particular individual, we are predicting them to finish the 10K time in about 48.78 minutes.
2719140	2720122	Any questions on this?
2724329	2725290	All right, nice.
2727394	2732302	So then we get into this next concept about lactate.
2733709	2734269	and fatigue.
2734910	2744854	How many of you have heard that lactate is either some sort of contributor or influencing an individual's to fatigue?
2744894	2748435	So lactate causes fatigue, lactate causes soreness or discomfort, right?
2748455	2750616	We've all probably heard that term before.
2752137	2756299	So then, what could we do then to test this?
2759397	2763360	What's like the most extreme example as to how we could test this?
2765622	2773709	Yeah, you could inject lactate, but then you wouldn't know though that maybe still the lower concentrations are still contributing.
2774809	2781415	What's the extreme way, we can't really do this, but what's the extreme way on the reverse side of that?
2788884	2793665	Yeah, so what if we just eliminated lactate production altogether?
2793685	2796546	Well, that seems pretty nice, right?
2796586	2810569	Because if I eliminate lactate production at all from exercise, then they shouldn't have any type of fatigue, and they shouldn't have the muscle soreness or the burning, right?
2810889	2812850	That seems reasonable, but we can't do that.
2813896	2814456	Or can we?
2814976	2815496	No, we can't.
2815796	2818697	But there is something called McArdle's disease.
2819717	2823738	So McArdle's disease is a very interesting genetic mutation.
2824658	2839021	So there's an error in the muscle glycogen where these individuals cannot synthesize the enzyme glycogen phosphorylase, which means they cannot break down glycogen and glycolysis does not occur.
2840802	2840942	Whoa.
2842292	2849035	That's a tough deal for them, but this gave researchers a pretty interesting idea.
2849755	2856938	What if we check these lactate levels and see what happens during exercise?
2857579	2864422	So here on this top curve, we have blood lactate, and then we have percent of relative VO2 max.
2865702	2872343	The dark or the solid lines are McArdle's patients and the dotted lines are controls, normal healthy controls.
2874504	2884906	As we increase exercise intensity all the way to 100, no surprise that the levels of lactate do not change in these McArdle's patients.
2885846	2888387	But the controls do have a lactate threshold.
2890787	2893188	Nice, at least the experimental model worked.
2894150	2902075	We're seeing no change in lactate in these Mercadil's patients, but we're seeing an exponential increase in lactate concentration in the controls.
2903436	2905777	Well, maybe something else was going on with ventilation.
2905897	2908459	No, they're still having an increase in ventilation.
2908559	2910920	So there's an excess buildup of hydrogen ions.
2911200	2915603	They're undergoing the bicarb buffering system, and they're having some hyperventilation.
2917724	2921447	And they also see the same in controls.
2924623	2933071	But, McCardell's patients, they do not tolerate exercise very well.
2934091	2947924	There's a big issue with these individuals or these patients that the main complaint during any type of exercise activity is the soreness, the burning, and the fatigue.
2950215	2961749	So it's quite interesting that they are experiencing the same issues that we experience albeit at a lower intensity with no lactate.
2963534	2967677	There's also those pieces where we talked about, I think someone had mentioned infusing lactate.
2967977	2972600	Well, if I infuse lactate at a higher concentration, it's not like our whole body starts to burn.
2973060	2978824	And then someone can argue, well, maybe it's because there's a higher lactate concentration inside of the muscle compared to the blood.
2978844	2981305	And that's true, but then you still can't get past this.
2988249	2992132	So then if they can't break down carbohydrate sources, what are they using?
2994553	2996434	to do the exercise or any type of activity.
2998495	2999616	There's only one other option.
3000216	3000956	Fats, right?
3000976	3007159	So not surprisingly, McArdle's patients use more fat as a fuel compared to control subjects during submaximal exercise.
3008060	3010041	However, this is pretty interesting.
